,text,labels
0,我想念不得不写一长串与学校有关的做事，并在崩溃后感到富有成效 ,2
1,我正处于许多生活的变化之中，看起来我们会失去家园，但没有感到恐惧，我相信上帝总是提供其他选择，也许这不是我们应该成为的地方 ,3
2,我希望如此，因为我不想让别人感到我受到你的伤害 ,0
3,我想要阳光，轻柔的微风和一种无忧无虑的感觉，可以忍受我所有的日子，而缓慢的夏日夜晚充满了衷心的自白和萤火虫 ,2
4,当我在有机火箭鹰嘴豆泥和米蛋糕上吐口水时，我感到非常良好 ,2
5,我觉得我总是妨碍那真是一种糟糕的感觉 ,0
6,我开始对他接下来要告诉我的事情有些害怕 ,3
7,我不再感到不安，我意识到我的一部分需要一贯学习他们是谁的本性，以及他们为什么做自己的事以及如何做到这一点 ,3
8,我需要开始拨打电话并提交简历才能获得新工作，但我感到有些胆小 ,3
9,我不禁感到有些疲倦 ,0
10,我现在感觉到我完全相信我实际上有O ,2
11,我一直感到他坐在床的尽头占用了我的睡眠空间，但是在现实生活中，我想我不小心踢了她几次，因为我很生气，以至于这个怪人撒谎了 ,1
12,我觉得那个女人对我说了些什么，而不是生气，而是爱和友善，她道歉，对我很可爱 ,1
13,我有点害怕 ,3
14,我现在觉得我现在为报纸写作，因为我只说他的姓氏据说遭受了巨大的脱水和压力问题，涉及通过科尼的视频分享他的个人故事 ,0
15,我感觉时代更聪明，能够饲养 ,2
16,我记得像地狱一样紧张，但非常非常兴奋 ,3
17,我不知道我越来越多地感觉到这个角色是一个空白的板条 ,0
18,在过去的几天里，我克服了恐惧，这使我感到很棒，因为我实际上可以脱离外壳并控制自己的选择和行动 ,2
19,我和普通学校的压力还不错，我终于遇到了一些功课，我对此感到很高兴 ,2
20,不愿打包我的行李 ,3
21,我经常感到不愿分开 ,3
22,我今天很生气 ,1
23,我想我有点不耐烦，也想在一些领域改变课程 ,1
24,我也感到烦躁 ,1
25,我每天连续几个小时单身育儿，并且觉得很脾气写 ,1
26,我的背上凝视着那些丑陋的美丽云层，我感到不重要且无法识别 ,0
27,我对此感到非常震惊 ,3
28,我被换人的小脑感到冒犯，只能想到乳房是你年大的男孩 ,1
29,我不希望任何人在上一篇文章上发表评论的任何人都感觉好像我不欣赏他们对他们的评论所做的讨论 ,2
30,我感到贪婪，但太理想主义了，什么可以期望她要你想和我说话你那个最好的朋友，她可能会很高兴你有我 ,1
31,我觉得想在一个不幸的情人身上拿出来，同时给他们带来愉悦和痛苦，因为他们应该知道比首先开始任何麻烦更好 ,0
32,我也知道，对于我们所有的自信意见，我们感到不确定 ,3
33,我觉得如果我不喜欢一个人写的东西，他们会被冒犯 ,1
34,我觉得如果我能为那种美丽而高兴，生活在如此美丽的世界中的意义 ,2
35,我试图看电影并阅读一本书，以迷失了一段时间，但我感到非常不安，以至于我放弃了 ,3
36,我觉得我再次感觉到我讨厌的一切，我不再讨厌 ,1
37,我觉得我迷失了你 ,0
38,我可能并不总是对回报感兴趣，根据他的方法，我可能会被他的方法吓到，但是除非他戴着假鼻子和眼镜，否则我不太可能感到可疑或不信任 ,3
39,我知道被忽略的感觉，我不喜欢它 ,0
40,我几乎被忽略了甚至看不见的 ,0
41,我喜欢让人们感到很漂亮，让人们微笑，这可能就是为什么我喜欢做指甲 ,2
42,我读了前几页页面，了解布福德试图做什么，我对这些足球迷的野蛮人感到有些不舒服，我对比赛的关心甚至不在乎，而不是他们关心的是让竞争对手的球队的球迷遭受殴打 ,3
43,当我亲吻一个我知道我和男朋友出来的人时，我感到厌恶，这个人出现了，但他与我无关 ,1
44,我首先向某些人打开消息，立即沉没，我开始感到非常怀疑 ,3
45,我觉得今年夏天在各个博客上要求街区的受欢迎的女孩被要求在各个博客上帖子 ,2
46,我刚才感觉真的很肮脏，但是是的 ,1
47,我觉得我的朋友ser是向我打破新闻的人 ,0
48,当一个孩子丢下我父亲的无线电录音机播放器 ,1
49,我想成为原始的我不想让我不怕自己是谁 ,3
50,我从来没有机会通过发现大多数野蛮人能够做的腿到脚的发现感到尊重 ,2
51,当我感到难过时，我经常听很多 ,0
52,我会感到自己变得不耐烦，我可以怪她生气，但她应该不理我，我什至不知道那不是她 ,1
53,我有点叛逆 ,1
54,我感觉很不稳定 ,3
