,text,labels
0,我确实感到沮丧 ,0
1,我现在在这里感到非常悲惨 ,0
2,我必须说我对自己感到非常满意 ,2
3,我对母亲的母亲感到非常强烈，但我对在各种情况，生活方式和家庭中的支持同样强烈地感到非常强烈 ,2
4,我申请了一份工作，他们向我保证，考试将在几个月后，一周后我去获得更多信息，他们告诉我考试已经进行了 ,1
5,我感觉很棒，因为我看到你的眼睛里的爱 ,2
6,我做的几乎没有那么糟糕，但我仍然感到非常叛逆 ,1
7,我觉得有需要 ,0
8,我觉得我的脸颊红色，但我可以隐藏我对你的不可避免的需求 ,3
9,我记得去公园去骑自行车，当她感到冒险时帮助她烤 ,2
10,我很害羞地看着他 ,3
11,我认为这使我成为艺术家的经历归一化，因为这对我来说并不像叛逆或替代生活方式 ,1
12,我有点不情愿 ,3
13,当我对自己的健康祈祷时，我似乎开始感到持怀疑态度，因为我越来越恶心 ,3
14,当她告诉我暗示动物可能会感到恐惧或害怕是拟人化的错误时，我正在和一位同事谈论她的研究 ,3
15,我认为在本周余下的时间里，将此信息提出很重要，许多人因他们可能做出的一些决定而感到沮丧和沮丧，因为他们可能做出的某些决定，现在有一些遗憾 ,0
16,我目前感到有些困惑，我认为这让我有些愚蠢 ,3
17,我让这个页面感到非常不满意 ,1
18,我回家感到脾气暴躁 ,1
19,我感到非常孤独 ,0
20,我感到有些折磨，伪造了为什么我这样 ,1
21,我在最后几本书中对他非常生气，但现在我发现自己为他感到难过 ,0
22,我开始觉得那很可疑 ,3
23,我只是不记得无忧无虑的感觉 ,2
24,我今天晚上越来越烦人 ,3
25,我觉得哭泣 ,0
26,我感觉很好的声带 ,2
27,我不知道他的死亡，我也不呆在深处，但我更加紧张地知道他的灵魂现在正在漫游地球，而不是他的人类形态 ,3
28,我绝不是巨大 ,3
29,我能够对几幅画进行最后的修饰，包括我整个夏天一直在工作的小绘画，但直到昨天才能解决 ,2
30,我因本体论崩溃的热情而感到折磨，他们什么都没有 ,3
31,我觉得自己像是一个忧郁的焦虑不安y没有安全感 ,0
32,我星期一早上从房子里出来，准备上学，当我看到我的车有轮胎时为停车场而战 ,1
33,我很不寻常，但我认为可以肯定地说，我的每个男性朋友都会参加那些女权主义的集会，并且会像我一样感到愤怒 ,1
34,我因使用新药物而减掉了二十磅，我对此感到沮丧，我是一个不安全的人，所以如果她看到其他人可能会去 ,0
35,我觉得我们中的许多人看到五场比赛失败，并变得偏执，因为自KG Sprewell Cassell时代以来，一支没有享受季后赛邀请的球队照常做生意 ,3
36,我会感到如此羞辱，人们甚至不会打扰 ,0
37,我试图在我的网站上保持积极的态度，但是在一年中的这个时候，我必须承认，我比平时更加压力 ,1
38,我确实知道我是一个普通的学生 ,2
39,我感觉更强壮，我不再觉得那个害羞的女孩 ,3
40,我想这是一个问题，我让怀疑和不安全感妨碍了我应该擅长并喜欢或我感到怀疑和不安全感，因为我试图强迫自己陷入我潜意识地知道的事物不合适的事物 ,3
41,我感到完全恐惧和绝望地不确定我的未来和他人的生活，在一个经常对我们的反对的系统中烧毁并击败了战斗 ,3
42,我只是有点烦人 ,1
43,这个星期我有点无聊 ,0
44,我在做不舒服的事情 ,3
45,我感觉很好，希望这能持续 ,2
46,我从中感到我们从联合国的自然环境中震惊 ,3
47,我很高兴弹性放大器有点坚固，我的皮肤在应用放大器后的皮肤感觉如何柔软，感觉太酷了 ,2
48,我去了电影院，那时我开始感到紧张 ,3
49,我讨厌这样的感觉，说这些事情对可怕的事故有恶劣的想法 ,1
50,我觉得使他们成为最危险的，他们的烦恼程度才是优先的 ,1
51,我慢慢地爬上我的S，我觉得时间更加珍贵，我需要停止浪费 ,2
52,我也希望你不会感到困扰 ,0
53,我建议您等待与他们讨论，直到您感到不满意 ,1
54,我虽然感觉很感伤 ,0
55,当我感到厌烦时，我爱你如何完全得到我 ,1
56,我真的觉得，我们对我们的专业知识受到尊重和赞赏，这实际上就是我所寻找的 ,2
57,我猜测，至少这些天的大多数美国天主教徒都会感到更加充满希望 ,2
58,我建议我们只是不跟她谈论它，因为她可能会被它羞辱 ,0
59,我感到害怕，我是成年人 ,3
60,我相信他们不会变得更好，但是目前我觉得这是这种奇怪的义务 ,3
61,我不确定我是否只是独自感到脆弱或什么 ,3
62,我觉得我不断受到压力娱乐孩子 ,3
63,我应该留在活泼的房间里 ,2
64,我按下了按钮，但无法理解廉价录制的声音说的当然让我立即感到放心 ,2
65,我觉得他们会要求我在学年中继续在那里工作是非常令人怀疑的，但至少在夏天我应该没事 ,3
66,我感到生气或沮丧，我试图思考爱心的想法 ,1
67,我对这种新的待遇感到充满希望，可以延长我的生活 ,2
68,我目前感到不满 ,0
69,我觉得我们会为如此小的东西而战，以至于几个小时后我们会嘲笑它 ,1
70,我讨厌赤脚冷走床上的感觉 ,1
71,我紧随其后的是，我的宁静突然被打断了 ,1
72,我从来没有觉得对方没有耐心，他像猛烈的狗一样用玩具拉伸我的耐心，直到我感觉到只有一英寸宽的耐心，让他像我周围的沐浴水一样膨胀 ,1
73,我感到失望的是，她是否在和男朋友说话 ,0
74,我感觉比我想的要好 ,2
75,我觉得我在这里工作的路上失去了自己 ,0
76,我觉得我什至没有写它的力量，但不能回家，我再也不想在自己的家中感到恐惧了 ,3
77,我对整个事情都感到明显怀疑 ,3
78,我很快就会收到一台全新的闪亮电脑 ,0
79,我觉得气味穿透了我的衣服，剩下的一天我闻起来像坏鱼 ,0
80,我开始在这里感到自己不确定自己和我的目的 ,3
81,我总是为邀请而感到荣幸，很难说不，因为他们生活在不同的时区，离我数千英里 ,2
82,我现在对自己的生活感到非常不满意，任何梦dream以求的未来的尝试都让我感到自己可以实现这一目标 ,1
83,我觉得哭泣的img src rte表情符号微笑哭泣 ,0
84,我似乎也有某种残酷的恐惧打扰其他人，我最想着的人感觉就像是不断纠正孩子的那个紧张的妈妈 ,3
85,我感到非常危险，以至于我的思想就像是一枚炸弹，我不知道它何时会触发和爆炸 ,1
86,我虽然很生气 ,1
