text,labels
我有点沮丧,0
我今天感觉不太好。我的狗不舒服。,0
不太好，我的狗昨天死了。,0
我有点沮丧,0
我一直看中东的新闻报道让我更加焦虑。,0
我因分手感到很沮丧。,0
我今天心情很不好。,0
没那么好。我感到有点孤独,0
我最近情绪低落，无法摆脱这种恐惧。,0
非常不安。本周早些时候我失去了一个亲人。,0
我今天非常难过。我一直在想我的母亲，她最近去世了。这很困难。,0
我真的很着急，我感觉我没有通过考试,0
感觉不太好，我真的很挣扎。,0
不太好。由于压力，我最近一直感到悲伤和昏昏欲睡。,0
我今天很沮丧。,0
今天不太好,0
我感到很沮丧，因为连续一周都在下雨。,0
我只是感觉真的很沮丧。,0
我很郁闷。我找不到起床的动力。,0
我感到非常难过。昨晚我失去了亲人。,0
我做得不太好。,0
我感觉没那么好。,0
特别糟糕,0
我心情不好。,0
由于我的健康状况，感觉非常糟糕。,0
我觉得很难受。,0
感觉郁闷今天工作不顺利。,0
不好，我在工作中度过了紧张的一天。,0
我真的感到很失落和悲伤。我的伙伴和我分手了。,0
我真的很不高兴，我的小狗昨天跑了，我到处都找不到他。,0
不太好，今天早上我下雨淋湿了。,0
我感觉不太好。,0
我觉得很难受。我狗丢了。,0
我感到很沮丧，今天早上我不想起床。,0
我今天心情有点低落。,0
不太好。我的姐妹们有地方可去，有事可做。我觉得落后了。,0
很糟糕。我发现我父母要离婚了。,0
今天心情特别低落。和弟弟吵架了,0
不是很好。,0
我不厉害。,0
我感觉很糟糕，我想我今天失去了一个朋友。,0
我很沮丧，因为我男朋友和我分手了。,0
糟糕，昨天我失去了一个亲近的人。,0
我感觉不太好。我男朋友昨天和我分手了。,0
真的很伤心。我不能让自己做任何事,0
我感到空虚和绝望。这次的疫情真的让我很受伤。,0
请放过我吧，我很痛苦。,0
由于封锁，今天很伤心,0
我受够了。我认为我这个月无法应付所有账单，而且我还在不停地工作。,0
我今天感觉超级沮丧，似乎没有任何意义了,0
我真的很伤心很沮丧。,0
没那么好。我发现我的祖母活不长了。,0
我今天感觉很恶心,0
不好，我的狗死了。,0
我今天不怎么好。,0
我之前哭过,0
我很难过,0
我今天有几次哭泣。,0
我还行，估计吧。,0
我听说我爷爷感染了新冠肺炎，正在住院。,0
我不舒服，我和我女朋友今天分手了。,0
感觉一切都没有希望了。,0
不好。我的狗今天被安乐死了。,0
今天真的有点沉重。,0
我今天感觉不太好。,0
我很沮丧，感觉我没有未来,0
我很沮丧。,0
我感觉很糟,0
我很失落,0
我有过跟好的时候。我最近肯定有点发疯。,0
不太好。我的狗昨晚死了。,0
我有过得更好的时候。,0
我不好，我真的很难过,0
我觉得有点空虚。我的生活中没有任何事情发生。,0
不是很好,0
不好,0
不太好，又是一个没有丝毫区别的日子。,0
我今天有点不高兴。,0
我很沮丧，我今天应该去看我爸爸，但他不得不重新安排时间，我很想念他。,0
一点都不好，我丢了工作。,0
我感觉不太好，我被诊断出得了一种可怕的疾病。,0
我感觉不太好，昨天和朋友闹翻了,0
我有点沮丧。,0
不是很好。我只是觉得空虚。,0
我感觉不好。我发烧了。,0
我真的很沮丧，很沮丧，我在任何地方都找不到工作。,0
我真的很郁闷。我所做的一切都不值得。,0
我今天很伤心，似乎什么都不对。,0
我今天好难过。,0
不好，我感到孤独,0
我很难过,0
空是轻描淡写,0
我感到沮丧和悲伤,0
今天心情真的很低落,0
刚过，最近没太多精力做事,0
感觉空虚，吃不下睡不着,0
不好，我认为什么都不会改变。,0
我今天很伤心，因为我和我的伴侣吵架了,0
我很痛苦，我已经好几个星期没能让自己做任何事情了。,0
心情低落，男朋友跟我分手了,0
我心情很低落,0
我觉得有点难过。我担心失去工作。,0
不是很好，只是整个星期都感到沮丧。,0
我真的很难过，因为我的狗跑了,0
随着学年即将结束，我有点坚定，我会想念我的学生。,0
我只是不想再继续下去了，一切似乎都是那么绝望。,0
我希望我感觉更快乐，但是这几天过得很艰难。,0
不太好。我今天工作搞砸了。,0
我感到沮丧，不像我自己。,0
好郁闷。我最近被解雇了,0
我做得不是很好。我一直有人际关系问题。,0
我的一个朋友去世了，我感到很失落,0
其实，最近心情有点低落。,0
事情可能会更好。由于我的学校成绩，我最近陷入了困境。,0
我感觉不太好，我很沮丧。,0
我真的很难过，以至于我想哭一整天,0
不太好;我因为生病错过了一个生日派对。,0
我感觉不像往常快乐的自己。,0
糟糕的。男朋友甩了我,0
我很郁闷我考试不及格。,0
我今天很难过。,0
我昨天和朋友闹翻了,0
我想哭,0
我觉得自己很糟糕。,0
由于无法参加家庭活动，我感觉不太好。,0
我想我不能再继续下去了。,0
只是感觉真的处于我生命中的低谷，似乎什么都不对。,0
还好吧，我觉得。,0
今天我心情非常低落。我只是没有一个美好的早晨。,0
我感觉很糟糕，我没有通过我的课程，我不能毕业了。,0
老实说，我心情不太好。我考试没及格。,0
很不幸，我不太好。,0
我情绪低落。好像生病了。,0
我很伤心，我之前在淋浴时哭了。,0
好吧，我只是觉得没有什么是我想要的。,0
很失落。当我一直在努力清理自己的时候，我妈妈骂我很乱。,0
不太好。我丈夫刚失业。,0
不太好。我似乎对做太多事情没有兴趣。,0
我感觉不太好。,0
我真的很沮丧。,0
我心情不好，我最好的朋友不会跟我说话。,0
我只想哭，因为我的狗死了很难受。,0
真的很沮丧，我似乎无法开始任何事情。,0
我感觉不太好。我的祖母上周去世了。,0
我觉得很糟糕，自从我父亲去世后，一切似乎都没有任何意义。,0
我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
今天简直惨不忍睹。,0
我感觉不太好。,0
自从我去年失业以来，我就有点沮丧了,0
坦率地说，我看不到生活中的任何意义了,0
可怕。我只是很难过。,0
我今天做的没那么好。他们正在推出我最喜欢的童年电视节目。,0
我觉得我想吐,0
不好，我和妈妈吵架了。,0
有点失落的感觉。,0
我需要得到支持,0
我希望我能改变,0
天气很糟糕，它让我陷入了垃圾场。,0
我感觉不太好。,0
我最好的朋友这周搬去了很远的地方。,0
我真的很难过，因为我和我哥哥吵架了。,0
我当然不是处于最佳状态。,0
我的母亲刚刚去世，我无法停止哭泣。,0
不太好，失望，沮丧。,0
我很难过。我的心碎了。,0
我很痛苦，我已经病了很多年，我找不到治疗方法,0
我完全感觉很糟糕,0
什么都不好,0
我情绪低落,0
老实说，不是很好。我的猫刚刚去世。,0
感觉不好。我妈妈昨晚住院了。,0
我无法停止哭泣。,0
我很难过，我和我男朋友吵架了,0
我感觉非常费。一切可能出错的地方都出错了。想地上找个缝钻进去。,0
我今天过得不好,0
我感到沮丧,0
她就是不和我说话了，我不知道该怎么办。,0
我今天过得很糟糕。,0
我感到沮丧，因为我找不到放松的方法。,0
我啥都不如意，我从来没有足够的钱做任何事情。,0
我今天很伤心，昨晚我失去了一位亲爱的朋友。,0
我现在感觉不太好我很伤心,0
我没有任何快感。,0
有待改善。我的妻子和家人最近似乎很疏远,0
由于和朋友吵架，我很沮丧。,0
我失去了动力，似乎永远无法提高我的成绩，我很难过。,0
真的不好。我想我的婚姻结束了。,0
我失去了所爱的人，从那以后我就没有真正感到快乐。,0
我感觉有点虚弱和沮丧。,0
我很无聊，我一个人在家,0
我感到孤独,0
今天我感觉想成为一颗钉在墙上的钉子。就在那里呆着。,0
我被悲伤淹没,0
我感觉像一块湿抹布,0
我很高兴你问这个问题，因为我最近真的很糟糕。我想我很沮丧。,0
自从他离开我我真的不想再活了,0
非常难过，我今天没有精力。,0
我今天感到很沮丧，因为我今天收到了一位客户的差评,0
情绪真的很低，我发现大多数日子都很难起床。,0
感觉自己在坑底：刚丢了工作,0
此刻我感到相当难过,0
我很沮丧。我和姐姐意见不合。,0
不太好，我希望今天早点过去。,0
男朋友跟我分手了，今天好难过,0
我很难过，因为这是一个长周末，但我必须工作。,0
我无法停止哭泣，因为我非常想念我的妈妈。,0
最近几天我的心情一直很低落。,0
我有点沮丧。我今天考试不及格。,0
我感觉有点惨，心情可以更好。,0
一点都不好。我最近真的很怀疑自己。,0
不是很好，老实说。我只是最近似乎没有任何积极的感觉。,0
我无法处理日常任务，我感到非常不知所措,0
我好像生病了，不太舒服。,0
一点都不好。我只想躲在我的房间里，从世界上所有的动荡中睡觉。,0
由于某种原因，我今天感觉很忧郁。,0
我今天真的很沮丧,0
不是很好。我今天不得不加班两个小时。,0
我今天对自己真的很失望。,0
我很崩溃。我无法停止哭泣。我的狗今天被车撞死了。,0
我一点都不舒服。一切事情都不顺。,0
我并不像我想的那样快乐。,0
我今天好难过,0
我很郁闷,0
我觉得有点绝望。,0
我没有那么好，因为我被上级骂了。,0
我的生活一片混乱。,0
我今天失去了一个亲密的朋友，感到非常难过和孤独。,0
我累了;一切都感觉像是一种努力。,0
我真的很沮丧，有点绝望。我想我很沮丧。,0
非常难过，我正在一个悲伤日子的纪念日想起它。,0
太可怕了，昨晚有人闯入我家。,0
今天我的心情很沉重。,0
我感到很失望。我被朋友出卖了。,0
我不想吃早餐，因为我太难过了。,0
我不好。我今天都不想起床。,0
在垂头丧气。我丈夫已经回办公室工作了，我一个人挺孤独。,0
有点可怕。我爸爸生病住院了。,0
好吧，我想。感觉比起还低。,0
我可以做得更好。,0
我心情有点低落。,0
我过得不好，我最喜欢说话的人甚至不再理我了。,0
我似乎再也感觉不到快乐了，因为我因失去工作而感到难过。,0
有点差劲，真的。我似乎无法享受任何东西。,0
我感觉不太好。我丢了我最喜欢的玩具，我找不到了,0
我只是不明白起床的意义。没有什么感觉很好。,0
我不应对。我只是觉得我可以一直哭。,0
我似乎无法摆脱这种低落的情绪。,0
我今天感觉不太好,0
不好，自从X离开后，我的情绪真的很低落。,0
我感到非常孤独，我没有朋友，也没有男朋友,0
我希望我能快乐。,0
 今天感觉有点无聊，因为我收到了一些关于一些财务问题的坏消息。,0
我现在很沮丧,0
很糟糕，我的女朋友甩了我。,0
今天下午我有点沮丧。,0
伤心,0
我觉得很懒,0
我今天感到有点孤独和悲伤。,0
我今天很难过。,0
我的车需要大修，我破产了。,0
我现在很伤心，因为我最好的朋友对我撒了谎。,0
今天不是个好日子。,0
我觉得没有人爱我。,0
今天有点感觉乌云笼罩着我。,0
这对我来说不是一个好时机。,0
我很郁闷，一直找不到女朋友,0
我度过了最糟糕的一天,0
我不好,0
我超级难过,0
我快要热泪盈眶了。我最近刚丢了工作，我快受不了这个压力了。,0
不太好。我期末考试不及格。,0
仿佛有一朵乌云笼罩着我。,0
我感觉不好，我分手了,0
今天早上刚看到新闻，我心态崩裂了。,0
我感觉非常差,0
我不知道我的感受,0
我想我很沮丧，我只是累了……你知道吗？厌倦了这一切。,0
今天和男朋友吵架了,0
我很难过。我的狗死了，我无法承受伤害。,0
糟糕的。汽车无法启动，这真的让我失望。,0
我感到非常难过，我出了车祸，我的车抛锚了。,0
我在我的生活中感到孤独所以我很伤心,0
我不想做任何事情。,0
有点难过。我父亲最近去世了。,0
我无法集中注意力，感到孤独。,0
我觉得很糟糕，我的女朋友甩了我，现在我没有人了，我真的很沮丧。,0
我每天都很难过，自从那次事故后我一直很痛苦。,0
我真的很沮丧，我感到沮丧，没有动力。,0
我没有太多精力去做任何事情。,0
疫情让我失去了个人,0
我情绪低落,0
比平时更没用,0
我感到悲伤和沮丧,0
我一点都不舒服，我完全心灰意冷,0
好吧，我该从哪里开始呢。我很难过，我很难打字。,0
我不能再这样下去了，太痛苦了,0
所以，我今天的心情很阴郁。,0
最近我失去了我的祖父，我感到很沮丧,0
所以，目前似乎没有什么能让我开心。,0
我感到很孤独，因为我的朋友不会参加我的生日聚会。,0
我对我朋友的行为感到非常恼火,1
我很生气,1
我对客户服务主管感到反感，因为她在我叙述我的问题时拒绝看清原因,1
我很生气。我丢了钱,1
我很生气，因为我找不到借记卡。,1
我很生气我的同事因为我的工作而受到赞扬。,1
不太好，我度过了非常沮丧的一天。,1
不是很好。我对我的一个同事很生气。,1
我被推到了恶化的地步，失去了冷静。,1
我很生气。一切都不正常！,1
我现在很生气。我的搭档欺骗了我，这让我很沮丧。,1
我很生气，因为我被无故解雇了,1
我非常失望。,1
我最近对正在发生的政治局势充满了愤怒和仇恨。,1
我现在真的很生气。我刚刚和一个指责我没有做的事情的人发生了争执。,1
我又开始真的生气了,1
事实上，我这周都在加班，这让我很生气。,1
我只是一直很生气,1
我很生气，因为我哥哥偷了我 50 美元。,1
我很生气。我老板给我写的！,1
我很心烦。,1
我今天感觉不太好。,1
我很生气,1
我他妈的气死了。,1
我感到非常生气，因为一个陌生人袭击了我。,1
每个人都反对我——我的老板、我的丈夫和我的孩子。,1
我对我的朋友很生气，因为他不服从我。,1
我很生气。,1
我现在很生气，我不知道为什么。,1
很糟糕,1
我现在感到很生气。,1
我一点都不好。其实挺烦的。,1
我不好。我头上的工作压力太大了。,1
我的老板只是因为我胡说八道而解雇了我！,1
我很生气。,1
我最好的朋友找到了一个可以一直出去玩的人。,1
我真的很生气。我不公平地失去了工作中的大晋升。,1
我在另一门课上不及格，为此我很生自己的气。,1
我很生气,1
我真的很生气我的前任。,1
我不能忍受我的生活，显然我的伴侣也不能，因为她已经走了。,1
我很生气，我的朋友和我男朋友调情，我不知道如何处理。,1
太糟糕了 - 我觉得我需要伤害某人。,1
我不好，我的团队被取消了资格，我和朋友打赌输了 100 美元，我真的很生气。我有这种感觉是球队的错。,1
我感觉很糟糕，我刚刚得到了一些非常令人恼火的消息,1
我很生气我的老板在我的同事面前让我难堪。,1
我再也受不了了。,1
我对我的配偶生气,1
狂怒。每个人都在不停地打扰我工作。,1
我很生气我男朋友没有告诉我真相。,1
我超级生气,1
我对我室友发生的事情很生气,1
我很不高兴,1
我为今天发生的事情而生气。,1
老实说，我很生气。,1
那不是你的事,1
我对自己受到的对待感到非常沮丧。,1
我只是在生气。,1
我生气了。,1
我的经理骂我所以我很生气,1
我现在很生气，因为我没有通过考试,1
我很生气。,1
一个白痴差点造成车祸，让我很生气。,1
我觉得很可怕，很生气，很可恨。,1
我不好。我不知道为什么这一切都发生在我身上。,1
我真的很生气，他们在学校取笑我，但我对此无能为力,1
我为今天发生的事情感到非常生气。,1
我不好，我对我的搭档很生气，因为他说了一些令人恼火的句子,1
我很生气,1
不是很好。最近似乎一切都让我感到沮丧，我需要付出很多努力才能保持冷静。,1
极度愤怒！老婆离我而去！,1
我非常生气,1
我不好，当陌生人撞到我的车时，我真的很生气,1
我需要休息一下社交媒体,1
我对这个世界感到厌恶,1
我生气,1
我对我的父母很生气，他们总是试图控制我。,1
我对上周在工作中发生的事情感到很生气。,1
我生自己的气。,1
生气了，彻底结束了这一切。我刚出去工作。,1
请别打扰我,1
我不好是因为我的朋友欺负我,1
到目前为止，我讨厌我的一天。,1
不是很好。我想辞掉我的工作。,1
我今天真的很生气。,1
我像大黄蜂一样生气，我想打人。,1
我真的很生气，我今天在工作中无法完成任何事情。,1
我现在很生气，我不敢相信我被当成了傻子。,1
我今天很生气。,1
滚蛋,1
我不好,1
我有更好的日子,1
我对我的老板很生气，因为他总是冲我大喊大叫,1
今天我觉得自己很糟糕！,1
我对我的老板很生气，她总是那么苛刻，根本不考虑人们的心理健康,1
一切都很糟糕，我讨厌我的生活,1
不好，我今天过得很糟糕。,1
我开始想我哥哥什么时候离开并生气,1
真的很生气！我的老板根本不尊重我的时间！,1
我感到压力很大，我对我的男朋友很生气，因为他总是迟到而不提前通知我。,1
我开始想到我的对象离开我的时候，我很生气,1
我心情不好,1
我对我儿子很生气，因为他今天没有吃午饭,1
我很心烦,1
我很不高兴，因为我的手机摔坏了。,1
我的室友因为她的草率而让我发疯！,1
我现在很生气。,1
我真的对我丈夫很生气，他和我吵架了。,1
老实说，我感到很生气，就像我会伤害某人一样。,1
我现在无法忍受我生命中的任何人。,1
我只是想打人，真的。我现在对一切都感到厌烦了。,1
我对我的搭档很生气，我发现他们出轨了,1
我一点都不好。,1
我只是想砸东西。我的老板最近很为难。,1
我很沮丧！无论我说什么，我的父母都不理解我。,1
对一切都很生气,1
不太好，因为银行搞砸了我的支票账户。,1
我什至不想谈论它,1
我想砸人的脸。现在的人都是混蛋。,1
我气得要死。我输了一个大赌注。,1
我很生气。,1
我对同事的行为感到愤怒。,1
我想喊,1
我厌倦了这种狗屎。,1
我感到非常生气，因为我的儿子不听从我的指示。,1
我太生气了，我可以杀了人。,1
我对我弟弟很生气。,1
我只是觉得最近很生气。,1
我气得快要爆炸了——我哥哥真的知道如何按我的按钮。,1
我很生气,1
我很生气。,1
我现在很生气。,1
我没有心情和别人说话。,1
我直接打了我前任的车窗。,1
我只是不想现在处理这个。,1
