text_EN,text_ZH,labels
I am feeling a bit down,我有点沮丧,0
I don't feel that great today. My dog is unwell.,我今天感觉不太好。我的狗不舒服。,0
"Not very well, my dog died yesterday.",不太好，我的狗昨天死了。,0
I'm feeling kind of down,我有点沮丧,0
Not so good as I have been watching the news coverage from the Middle East.,我一直看中东的新闻报道让我更加焦虑。,0
I'm feeling pretty blue about my breakup.,我因分手感到很沮丧。,0
I'm feeling pretty down today.,我今天心情很不好。,0
Not that good. I'm feeling kind of lonely,没那么好。我感到有点孤独,0
I've been feeling down lately and can't get out of this funk.,我最近情绪低落，无法摆脱这种恐惧。,0
Very upset. I lost a loved one earlier this week.,非常不安。本周早些时候我失去了一个亲人。,0
"I'm very sad today. I've been thinking about my mother, who recently passed away. It's been difficult.",我今天非常难过。我一直在想我的母亲，她最近去世了。这很困难。,0
"I'm really anxious, I think I failed a test",我真的很着急，我感觉我没有通过考试,0
"Not feeling good, I am really struggling.",感觉不太好，我真的很挣扎。,0
Things could be better. I have been feeling sad and lethargic lately due to stress I think.,不太好。由于压力，我最近一直感到悲伤和昏昏欲睡。,0
I'm pretty down in the dumps today.,我今天很沮丧。,0
Not so great today,今天不太好,0
I feel down because it's rained for a week straight.,我感到很沮丧，因为连续一周都在下雨。,0
I'm just feeling really down.,我只是感觉真的很沮丧。,0
I'm quite depressed. I can't find the motivation to get out of bed.,我很郁闷。我找不到起床的动力。,0
I'm feeling very sad.  I lost a loved one last night.,我感到非常难过。昨晚我失去了亲人。,0
I am not doing too well.,我做得不太好。,0
I am not feeling so great.,我感觉没那么好。,0
Really bad,特别糟糕,0
I feel bad.,我心情不好。,0
Feeling very bad because of my health condition.,由于我的健康状况，感觉非常糟糕。,0
I feel terrible.,我觉得很难受。,0
Feeling hum drum things did not go well at work today.,感觉郁闷今天工作不顺利。,0
"Not good, I had a stressful day at work.",不好，我在工作中度过了紧张的一天。,0
I feel really lost and sad. My partner and broke up.,我真的感到很失落和悲伤。我的伙伴和我分手了。,0
"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",我真的很不高兴，我的小狗昨天跑了，我到处都找不到他。,0
"Not so good, I was rained on this morning.",不太好，今天早上我下雨淋湿了。,0
I have been better.,我感觉不太好。,0
I feel terrible. I lost my dog.,我觉得很难受。我狗丢了。,0
I fee depressed and I didn't want to get out of bed this morning.,我感到很沮丧，今天早上我不想起床。,0
I am feeling a bit down today.,我今天心情有点低落。,0
Not so good. My sisters have places to go and things to do. I feel left behind.,不太好。我的姐妹们有地方可去，有事可做。我觉得落后了。,0
Pretty bad. I found out that my parents are getting a divorce.,很糟糕。我发现我父母要离婚了。,0
Feeling really down today. Got into an argument with my brother.,今天心情特别低落。和弟弟吵架了,0
Not very well,不是很好。,0
I'm not great.,我不厉害。,0
"I feel awful, I think I lost a friend today.",我感觉很糟糕，我想我今天失去了一个朋友。,0
I feel so down because my boyfriend broke up with me.,我很沮丧，因为我男朋友和我分手了。,0
"Awful, I lost someone close to me yesterday.",糟糕，昨天我失去了一个亲近的人。,0
I'm not feeling too good. My boyfriend broke up with me yesterday.,我感觉不太好。我男朋友昨天和我分手了。,0
Really sad. I can't bring myself to do anything,真的很伤心。我不能让自己做任何事,0
I feel empty and hopeless. This pandemic has really taken a toll on me.,我感到空虚和绝望。这次的疫情真的让我很受伤。,0
"Please leave me alone, I am miserable.",请放过我吧，我很痛苦。,0
So sad today because of lockdown,由于封锁，今天很伤心,0
I'm fed up. I don't think I can manage all my bills this month and I'm working non stop.,我受够了。我认为我这个月无法应付所有账单，而且我还在不停地工作。,0
"I feel super down today, nothing seems to make sense anymore",我今天感觉超级沮丧，似乎没有任何意义了,0
I'm really sad and depressed.,我真的很伤心很沮丧。,0
Not that great. I found out that my grandmother doesn't have long to live.,没那么好。我发现我的祖母活不长了。,0
I am feeling very nauseous today,我今天感觉很恶心,0
"Not good, my dog died.",不好，我的狗死了。,0
I am not so great today.,我今天不怎么好。,0
I cried before,我之前哭过,0
I feel sad,我很难过,0
I have had a few crying spells today.,我今天有几次哭泣。,0
"I'm fine, I guess.",我还行，估计吧。,0
I heard my grandpa has COVID and is in hospital.,我听说我爷爷感染了新冠肺炎，正在住院。,0
"I am not feeling well, me and my girlfriend broke up today.",我不舒服，我和我女朋友今天分手了。,0
I feel like everything is hopeless.,感觉一切都没有希望了。,0
Not good. My dog had to be put to sleep today.,不好。我的狗今天被安乐死了。,0
Really kind of heavy today.,今天真的有点沉重。,0
I am not feeling good today.,我今天感觉不太好。,0
"I'm down, feeling there's no future for me",我很沮丧，感觉我没有未来,0
I am so upset.,我很沮丧。,0
I'm feeling bad,我感觉很糟,0
I am depressed,我很失落,0
I've been better. I've definitely been in a bit of a funk lately.,我有过跟好的时候。我最近肯定有点发疯。,0
Not so well. My dog died last night.,不太好。我的狗昨晚死了。,0
I've been better.,我有过得更好的时候。,0
"i am not good, i feel really sad",我不好，我真的很难过,0
I feel kind of empty. I have nothing going on in my life.,我觉得有点空虚。我的生活中没有任何事情发生。,0
Not very well,不是很好,0
Not good,不好,0
"Not great, it's the same shit different day.",不太好，又是一个没有丝毫区别的日子。,0
I'm a little upset today.,我今天有点不高兴。,0
"I am feeling bummed, I was supposed to see my dad today but he had to reschedule, I miss him a lot.",我很沮丧，我今天应该去看我爸爸，但他不得不重新安排时间，我很想念他。,0
"Not great at all, I just lost my job.",一点都不好，我丢了工作。,0
"I don't feel very well, I was diagnosed with a terrible disease.",我感觉不太好，我被诊断出得了一种可怕的疾病。,0
I am not feeling so good I fell out with my friend yesterday,我感觉不太好，昨天和朋友闹翻了,0
I am feeling a little down.,我有点沮丧。,0
Not too good. I just feel empty.,不是很好。我只是觉得空虚。,0
I am not feeling good. I was suffering from fever.,我感觉不好。我发烧了。,0
"I'm feeling really down, depressed, I can't find a job anywhere.",我真的很沮丧，很沮丧，我在任何地方都找不到工作。,0
I'm really depressed. Nothing I do is worthwhile.,我真的很郁闷。我所做的一切都不值得。,0
"I am so sad today, nothing seems to be going right.",我今天很伤心，似乎什么都不对。,0
I am so sad today.,我今天好难过。,0
"Not good, I'm feeling lonely",不好，我感到孤独,0
I am feeling sad,我很难过,0
empty is an understatement,空是轻描淡写,0
I am feeling low and sad,我感到沮丧和悲伤,0
Today my mood is really low,今天心情真的很低落,0
"Just getting by, not much energy to do anything lately",刚过，最近没太多精力做事,0
"I feel empty, I can't eat or sleep",感觉空虚，吃不下睡不着,0
"Not good, I think nothing is going to change.",不好，我认为什么都不会改变。,0
I am feeling sad today as I have fought with my partner,我今天很伤心，因为我和我的伴侣吵架了,0
"I'm miserable, I haven't been able to bring myself to do anything in weeks.",我很痛苦，我已经好几个星期没能让自己做任何事情了。,0
"I feel really low, my boyfriend broke up with me",心情低落，男朋友跟我分手了,0
I'm in a pretty low mood,我心情很低落,0
I feel a little sad. I am worried about losing my job.,我觉得有点难过。我担心失去工作。,0
"Not great, just been feeling depressed all week.",不是很好，只是整个星期都感到沮丧。,0
I'm really sad because my dog ran away,我真的很难过，因为我的狗跑了,0
I'm kind of firm as the school year is coming to an end and I'll miss my students.,随着学年即将结束，我有点坚定，我会想念我的学生。,0
"I just don't want to go on anymore, everything seems so hopeless.",我只是不想再继续下去了，一切似乎都是那么绝望。,0
"I wish I was feeling happier, but it's been a rough few days.",我希望我感觉更快乐，但是这几天过得很艰难。,0
Not well. I messed up at work today.,不太好。我今天工作搞砸了。,0
I feel depressed and not like myself.,我感到沮丧，不像我自己。,0
Pretty depressed. I was fired recently,好郁闷。我最近被解雇了,0
I'm not doing so well. I've been having relationship troubles.,我做得不是很好。我一直有人际关系问题。,0
A friend died and I feel lost,我的一个朋友去世了，我感到很失落,0
"Actually, I have been feeling a little down lately.",其实，最近心情有点低落。,0
Things could be better. I've been down in the dumps lately due to my school grades.,事情可能会更好。由于我的学校成绩，我最近陷入了困境。,0
I'm not feeling too great. I'm pretty depressed.,我感觉不太好，我很沮丧。,0
"I am feeling really sad, to a point where I feel like crying all day",我真的很难过，以至于我想哭一整天,0
