,text,labels
0,今天 晚上 参加 beauty forever 的 周年 晚会 ， 感谢 annie 和 eddie 的 邀请 ， 真 未 想到 会 拿 上 一 等 大奖 ， 全 场 一百多 人 我 成为 幸运儿 ， 我 要 把 奖金 去 助养 儿童 ， 把 快乐 分享 给 有 需要 的 孩子 ， 真hold 不 住 我 的 快乐 ！,2
1,我 在 van 的 陋室 ： 厌恶 自己 到 了 相当 程度 ； 回想 在 行走 时 遇到 的 弱势 人群 自己 的 无能为力 ， 我 觉得 这 两 条 就 够 我 自杀 了,0
2,妹纸们 的 新单 ~ 有 轻音 的 痕迹 但是 好 棒 ( * ´ ▽ ｀ * ) 【 akb新 单pv 】 give me five !   up主 ： 百合花 开,2
3,顶 着 12分 的 勇气 还是 决定 摸 着 黑 回家 了 。 过节 气氛 还是 很 浓重 。 一路上 炮声 不断 。 然后 还 绕 着 黑路 去 买 了 几 根 雪糕 和 一 板 ad 钙奶 。 壮着 胆 找到 了 自己 家门 。 楼道 里 各 种 酒香 肉 香饭 香好 不 让 我 垂涎 。 家里 热气 扑面 。 只是 only me . 还有 那 等 着 我 浇水 的 小 花 。,0
4,忙 的 别 说 发 微博 了 就 连 看 的 时间 都 快 没 了 ！ 三色台 的 那些 花旦 快 看腻 的 时候 终于 换 了 周丽淇 了 ， 三 色 的 编剧 真 是 各 种 让 人 无语 ， 简直 是 为了 虐 而 虐 啊 ， 结局 各 种 bug ！ 佟本 善 受 着 伤 有 力气 跑到 河边 为 毛 不 跑 去 医院 呢 ！,0
5,农民 转述 听来 的 段子 ： 男人 一生 的 3 大 幸事 1 升官 、 2发财 、 3 死 老婆 。 问 哪 听来 的 ？ 答曰 手下 实习生 说 的 。 sigh ， 小 兔 崽子 还 没 转正 呢 ， 就 先 带坏 了 师傅 ？ ！ 郑重 转告 之 ： 师娘 很 生气 ~~~,0
6,no. day leo宝贝  周 啦  出来 show 一下 咱 的 大 肚皮  自己 看着 都 觉得 吓人  今天 已经 廿四 了 马上 就 要 过年 咯 真 开心  明天 又 是 两 周 一 次 的 产检 再 检查 几 次 咱们 就 要 见面 啦 真 期待 宝贝 最近 越来越 皮 了 ， 经常 踢 得 我 好 痛 觉得 肚皮 都 要 爆开 了  对 麻马 温柔 一点 好 不 好 嘛  小 坏 蛋,3
7,你 纠结于 “ 好 ” 或者 “ 更 好 ” 的 关系 之间 。 当 你 从 细节 上 显而易见 辨出 差别 时 。 心态 需要 有 改变 或 调整 。 比如 你 一直 平静 的 认为 他 / 她 和 他 / 她 或 他 / 她 和 你 。 你们 所谓 “ 好 ” 的 程度 都 一样 。 涟漪 都 可以 将 你 所谓 的 平均 击退 。 just so so ? 好像 又 低估 了 感情 。 这 只 是 我 敏感 的 定义 。 不 需 苟同 。 敏感 不 是 错 ， 只 可惜 不 好 。,0
8,周末 花 了 大价 钱 造 了 我 的 头发 ， 染 了 最 爱 的 亚麻色 ， 还 破 天荒 的 疼 了 自己 一 把 ， 做 了 高价 护理 。 效果 当然 是 相当 good ！ 这 年头 ， 指望 男人 疼 你 ， 不如 自己 疼 自己 ！,2
9,在 pps 上 看 了 一半 ， 突然 有 一 天 找 不 到 了 ， 虽然 不 知道 结局 ， 但 佘诗曼 的 造型 很 喜欢 ， 酷酷 的 ， 还 喜欢 里面 的 《 baby now 》 很 有 feel ， 给 我 做 铃声 了 。,2
