,text,labels
0,不好，我今天过得很糟糕。我一点都不好。,1
1,我担心进城我最近对离开家感到焦虑和害怕。这种长时间的隔离对我不利,3
2,由于无法参加家庭活动，我感觉不太好。今天不太好,0
3,我怕我不记得我学过的任何东西我今天很焦虑。,3
4,I've got a lot on my mind.,3
5,I cannot control myself in this moment,1
6,I am not feeling great at this time I am so sad,0
7,我为今天发生的事情而生气。我很生气。,1
8,我的一个朋友去世了，我感到很失落其实，最近心情有点低落。,0
9,I'm angry with my spouse.,1
10,"Actually, I am mad about how much it will cost to buy heating oil this winter.",1
11,非常难过，我正在一个悲伤日子的纪念日想起它。我心情不好，我最好的朋友不会跟我说话。,0
12,I am hurt because my friend lied to me.,0
13,我感觉在世界之巅我很好，非常感谢，我度过了愉快的一天,2
14,I just read the news and am devastated.,0
15,我开心极了！,2
16,我今天的焦虑很严重，一点点事情都让我担心不舒服,3
17,I don't feel well today.,0
18,我需要完成的事情太多了，我敢肯定我会忘记一些重要的事情。,3
19,"Thank you for your kind words, I am feeling great today.",2
20,谢谢你的提问，我今天真的很开心,2
21,我的焦虑感都无法衡量了。我感到害怕，我不知道为什么,3
22,不是很好，只是整个星期都感到沮丧。好郁闷。我最近被解雇了,0
23,我不好，因为我很生气，以至于我丈夫买了一辆昂贵的汽车，而且从来没有和我说过这件事。他让我如此沮丧。我对我最好的朋友对我说的话感到不安。,1
24,I'm down in the dumps. Everything that could go wrong has gone wrong. Kill me now.,0
25,我有一种同性恋的感觉，我对我所拥有的一切感到欣喜若狂。好多了。现在有很多值得感激的地方。,2
26,特别糟糕有点失落的感觉。,0
27,I feel like I'm working.,0
28,My child is ill,3
29,我感觉很棒我很好。,2
30,我今天感到控制和平静我不能更快乐,2
31,I'm feeling great. No complaints,2
32,我很生气，因为我的狗在我外出工作时撕毁了我最喜欢的沙发。不是很好。我想辞掉我的工作。,1
33,很好，谢谢，你呢？太好了，我刚中了彩票,2
34,我感到沮丧,0
35,我做得很好，谢谢你的提问！再飞一次，谢天谢地,2
