text,labels
稳 我 啦 不过 要 比 钱 呵呵,2
此人 炫耀 贴 ， 明天 让 他 送来 体验 一下 ， 哈哈,2
行 啊 你 来 了 我 就 走 哈 哈哈,2
"你们 买 了 ？
",1
哈哈 ， 今天 你 架 斯坦尼 康 啊,2
"哩 个 我 买 俾 你 ,",1
我 穿着 毛衣 ， 哎 ！ 出去 才 发现 太阳 大 来,0
兄弟 ， 房 地产 中 最 核心 的 土地 可是 垄断 的 喔 。 地价 加 税费 是 主要 成本 啊 。,3
也 不 贵 。 就 一百 多 。 我 穷 如 铁,0
"列 是 在 哪个 家 啊 ？
",3
你 误入 到 什么 地步 哇,3
慢 叫 听力 的 时候   它 自说自话 调 到 戏剧 台 去 了   那 就 好 别 响 类 … … 。,0
"呃 ~ 这个 可以 有的
",0
把 我 忘 了 ， 生气 ！,1
挽 着 奶奶 过 马路 的 少 了 ， 挽 着 二奶 过 马路 的 多 了 ；,3
你 各个 不是 脑子 热 是 脑子 破 外 的,1
你们 年 前 没 吃饭 ？ ！,3
"我 感觉 避风 塘 是 你家 开 的
",0
然后 衣服 裤子 都 穿 不 下 了 。,0
报 了 报 了 ~ 明天 一起 腐败 去 ~ 哈 哈哈,2
当真 我 是 欧巴桑 没 钱 没 地位 ， 随便 乱 加 给 罪名 给 我们 ， 就 可以 摆脱 你们 自己 内部 的 问题 ？,1
可惜 我 不 属 老虎 噢,0
马路 牙子 做 的 不 对 ！ 怎么 可以 挡 知识 分子 的 路 ！ 撞 它,1
我 也 觉得 像 水碾 河 。 。 哈 哈哈,2
对 啊 ， 在 偶 14 岁 吹 生日 蜡烛 的 时候 ， 咱们,3
麻辣 隔壁 ！,1
这么 多年 来 对于 茂业 百货 的 的 夜 购 总是 好奇 ， 总 想 知道 凌晨 还有 多少 人 在 逛 商场 ， 他们 都 是 怎样 的 人 ， 于是 昨晚 11 点 ， 小米 妞 睡着 后 ， 我 还是 赶 最后 一个 小时 奔 向 南山 茂业 ， 据说 可以 营业 到 12 点 半 ， 终于 满足 了 我 的 好奇 心 ， 并且 全身 而 退 — — 什么 都 没 买 。,2
"那 不是 我 , 那 不是 我 . .",3
"同 求 真相 。 。 。
",3
我 既然 敢 发 就 没有 打算 删,1
"这 是 纳尼 。 。
",3
那 你 说 我们 还有 这些 事情 什么 时候 干 呀,3
"靠 , 我 都 被 我 自己 感动 了 ! ! !",0
哈 哈哈 。 。 你 不 想 活 了 姐 没 办法 了 好 吧 、,2
没 看 比赛 现场 ， 但 从 技术 统计 上 看 ， 确实 是 实力 不行 啊 … …,0
我 现在 坐床 上 看见 你 说 烤鸭 好 饿 哦 。 不行 还是 早点 睡 了,3
可怜 的 孩儿 啊,0
"系 你 送 噶 ！ 多谢
",1
不会 吧 ！ 正好 是 我 在 拉萨 那 几 天 ， 我 不能 去 你们 家 吃 酸奶 蛋糕 了,0
那 就 三 只 狮子 凑齐 ， 闹 死 哈哈,2
我 隆重 地 自我 介绍 一下 哈 ， 我 是 稻草 熊 滴 ， 我 是 吴 奇隆 滴 … …,2
我 给 龟 买 了 一 盆 小 鱼苗 ， 现在 死 的 都 快 没 了 。,0
你 得闲 先 啦 ！ 担心 你 忙 唔 过来 啊 ！,3
什么 情况 ? 还 没 睡 ?,3
我 受 了 大 委屈 乃 ~,0
搞 了 半 小时 ， 终于 上传 成功 e-poster 了 。,2
cctv-2 又 开始 了 关于 征收 房产 税 的 探讨 ， 多么 熟悉 的 一 套 运作 程序 ， 又 是 大 谈 国外 、 香港 经验 ， 大 谈 若干 年 前 其他 国家 就 开始 征收 ， 就是 他 妈的 闭口不谈 别的 国家 是 怎么 用 这些 钱 完善 教育 、 改善 民生 的 。,1
当 结束 一 天 劳累 的 工作 时 ， 你 的 身影 ， 你 的 言语 ，   你 的 笑容 ， 总 无时无刻 在 我 脑海 中 响起 ， 飘荡 。,0
"人家 是 笔记 本 电脑 啊 ， 大大 ！
",2
"怪 你 阿姨 去 是 她 怂恿 我 的
",1
太 过分 了 ， 你们 竟然 对 一个 伤心 人士 如此 的 排斥 … 太 过分 了 …,1
还 没 约 好 时间 吗 ？,3
啊 ， 怎么 会儿 事儿 ！ ？,3
现在 ， 我 每天 都 哼 五 首 左右 的 红歌 ， 真的 ！,2
她 还 在 原来 的 学校 继续 读研,3
我 好 怕 怕,0
想 打架 吗 ？,1
去 你 妹 和 你 姐夫 的,1
你 说 你 吗 ， 我 在 公交 车 上 堵 了 1 多 个 小时 了 。,0
/ / @ 雪 见 tb : 好 怀念 哦 ， 十 年 了 ， 看到 这个 突然 觉得 明儿 同学 会 还是 去去 吧 …,0
你 怎么 回 事 啊 说话 啊,3
这个 在 露骨 了 吧 。,1
"我 在 这儿 等 着 你 ！
",3
蛋蛋 的 忧伤 。 。 。 [ 生病 ] [ 挖 鼻 屎 ],0
为什么 被 你 抽 中 了 。 。 。,0
[ 可怜 ]   早 看 清楚 就 踢 了 他 了 ！,1
"是 啊 ！ 我们 有 三 个 琦
",1
我 要 变 拉拉 吗 ？ 杯 具 啊 ~,0
山寨 才 有 好多 摄像 头 的 … 不要 太 悲剧 哦,0
七 年 感情 的 基础 ， 如果 不是 出于无奈 ， 谁 也 不 愿意 选择 放手 。,3
哈哈 ， 你 这 有 做 侦探 了 ， 我 找 不 出 一个,2
喂 神马 最后 一个 打 问号 呢 ？,3
不行 哦 亲 我们 讲究 稳定,3
嗯 怎么 一眼 就 能 看 出来 就 没有 觉得 像 家庭 暴力 吗,0
"好多 肉蒲团 啊
",2
我 的 梦 啊 ， 泪 奔 中,0
额 … … 又 是 生日 又 是 八 月 又 是 破财 月 啦,0
你 到底 到 了 没 … …,1
"恩 唐山 男人 帮 的 老板 ！ ！ 做 个 广告 去 男人 帮 买 衣服 提 我 呵呵 有 折扣
",2
真 好 !,2
上班 的 人 伤 不 起 啊,0
尼玛 的 ！ ！,0
哈哈 哈哈 哈哈 ， 恍惚 中 还 在 想 ： 我 啥 时候 还 买 过 这 花纹 的 被 罩 ？ [ 嘻嘻 ] [ 可爱 ],2
靠 ， 都 不 叫 我,1
