,text,labels
5575,i feel greedy about my work,1
1359,我一直感到焦虑 ,3
673,i tend to feel selfish expressing that i needed something from her and quite silly expressing that i did not know what that something was,1
1285,i feel so mellow and chill that i am just going to go relax and see where the mood swings me,2
8731,i feel like i m always stressed worried or upset about something,1
3770,i told him i could feel the needle and that it was unpleasant,0
2106,我感到非常绝望，周一再次害怕学校 ,0
4457,i spent in the uk even though it was only for weeks which makes me feel like a pathetic spoilt little brat or whatever and then i end up feeling sorry for myself because i dont live in london which makes me want to cry endless buckets of blood tears,0
1053,我对所有事情都感到柔和，这让我发疯 ,3
8306,i feel envious of another student with his her practice,1
2207,我只是喜欢一个感性的感觉，当她躺在我旁边亲吻她的嘴唇时，她会柔软，但要求舔 ,2
1746,i feel pissed because i know im not a d,1
2296,i feel like ive never been pretty or clever or thin enough or good enough,2
1956,我今天在网上花了近两个小时的研究策略，但没有效率 ,2
6654,i feel like im being punished and suspected because i goddamn well lived,0
1800,我整个早晨都呆在我的公寓里，在我的圣经神学论文上工作，感到不安 ,3
1899,我一直在外面骑行，我感到很振奋 ,2
287,我现在感到该死的生气 ,1
6113,i thought now that i was with my brother my life would be set and id never ever feel unprotected or unloved or even lonely because i knew he would always watch over me like he always did,3
2255,我怀孕了，到期日期已经结束，我记得我感到过于偏执，对婴儿的地狱非常焦虑 ,3
2881,我真的很羞辱 ,0
1922,i am feeling generous toward the driver he was having trouble steering in the slush and the ice and would probably not have run over me by choice,2
7150,i know he was the one who hurt saga s feelings betrayed him and left him heartbroken,0
3292,i was slightly worried about giving danica away as i don t usually give away old things that i make invariably i was a rubbish knitter back then but my friend had continually admired it over the winter months so i don t feel too badly especially now that it is once again gorgeous,2
4438,i did end up feeling so bad that i jumped on the treadmill at eight oclock last night and put in min of which half an hour was straight running,0
5007,im not feeling too bitchy,1
1468,我对每个队友的珍视无动于衷，并且在某种程度上感觉就像我们现在真的很彼此找到我们的苦难领导者，他们以洛夫姆格学生的变化而闻名 ,1
3840,i may stay out tomorrow though depending on how i feel i m always reluctant to be off sick but my health has to come first,3
8157,i feel like a shaken bottle of pop ready to explode any moment,3
880,我不生气，唯一的感觉很痛苦，我确实伤害了她很多 ,3
7944,i am just feeling more joyful and upbeat even at work,2
1692,i was feeling whiney and selfish,0
937,我感觉真的很不错的几周，我们将与这个女婴见面 ,2
2890,我觉得我受到惩罚 ,0
2926,i was having a fuck of a time finding it and i was starting to feel frantic at the thought that they were sold out no giggling in the peaunut aisle betty and veronica are a constitution and i refuse to feel any kind of remorse or shame for reading up on their lives in riverdale so shut up,3
8965,i became aware that i was feeling really irritable,1
2026,我感到自己无法解释的空心，愤怒和悲伤的混合在一起，花了很长时间才能得到正义。 ,0
2525,我感到不舒服我错了 ,3
875,i think it has something to do with the chemistry of taste and how you need all the flavor types to feel satisfied but it works,2
1675,我相信有足够的时间进行社交活动，但是现在他们都觉得我太紧张了 ,3
2305,我不愿意发表评论，因为我不想添加到堆中 ,3
7317,i found myself feeling jealous of ellies affection and attention,1
535,我有点偏执 ,3
5191,i feel indecisive about anything i have a thought of maybe doing,3
5654,i don t know what i ate across the fields yesterday but i feel so rotten,0
1190,one dark night with no street lights,3
1195,香港专业教育学院一直感到压力很大，没有在我的比赛中感到精疲力尽，我的大脑一直在慢动作，而我一直在尝试尽可能多地阅读我的大脑 ,0
915,我感到丑陋和卡住 ,0
44,我写这篇文章很奇怪，我们很快就会锁定卡克斯顿，再也不会住在她身上 ,3
1805,我从几天前就没有吸烟了，我感到很烦躁 ,1
6195,i have to admit despite all my optimism i still feel a little uncertain,3
4256,ive about had it with what was going on and i feel as though im transitioning from i care about everyones opinion and dont want to make anyone unhappy,0
1139,i am terrified actually and feel alone very much already,0
