,text,labels
0,我不舒服，我和我女朋友今天分手了。我不好。我今天都不想起床。,0
1,Terrible! my roommate stole my necklace!,1
2,很不幸，我不太好。我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
3,我想我不能再继续下去了。我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
4,我有更好的日子，我感觉不舒服，现在对事情感到焦虑。我感觉不太好，我最近工作太辛苦，几乎没有时间照顾自己。,3
5,我很生气。我很生气。,1
6,我感到沮丧，不像我自己。我今天心情很不好。,0
7,I am not feeling good today.,0
8,我感觉很好，谢谢！我感觉很棒谢谢你。,2
9,今天下午去看牙医，我感到很紧张！,3
10,我感到活着和幸福。好久没有这么好的感觉了！,2
11,I'm fine thanks.,2
12,我和我的伴侣吵架了，我真的很难过。我觉得是我的错。我很无聊，我一个人在家,0
13,非常难过，我正在一个悲伤日子的纪念日想起它。,0
14,我对自己的新冠检测结果呈阳性感到担忧和恐惧。,3
15,"I'm so hateful, the person I trusted the most betrayed me in a way I couldn't even imagine",1
16,我今天感觉很糟糕，我的焦虑来自屋顶。,3
17,I am afraid that my child is suffering. They have a fever,3
18,"I'm not feeling great, I have that sinking feeling that comes with anxiety.",3
19,那不是你的事我只是想打人，真的。我现在对一切都感到厌烦了。,1
20,我感觉不太好。不太好。我的姐妹们有地方可去，有事可做。我觉得落后了。,0
21,我感觉很棒我刚从一个小假期回来。我感觉很棒！,2
22,我怕我得了癌症我实际上感觉不太好，我的头脑很模糊，我感到焦虑，我的直觉告诉我出了什么问题。,3
23,Im feeling on edge today. I have a big test and im worried I wont pass.,3
24,The looting that is going on in our country has me fearing for my life and those whom I love.,3
25,I've been better.,0
26,今天发生了很多好事，所以我特别高兴。,2
27,"I'm good, thanks.",2
28,我感到很沮丧，因为连续一周都在下雨。,0
29,我担心我的职业我感觉不太好，我担心面试。,3
30,我感觉很棒没什么好抱怨的我真高兴。我现在拥有我想要的一切。,2
31,我现在很生气，我不敢相信我被当成了傻子。不是很好。最近似乎一切都让我感到沮丧，我需要付出很多努力才能保持冷静。,1
32,今天不太好,0
33,Nothing seems to be going right and I can't get anybody to listen to me.,1
34,我的心情真的很低落，实际上很害怕。今天不太好，着急,3
35,我的心在狂跳，我感到紧张不安。现在在抢劫袭击后我的生活极度紧张,3
36,不好，我害怕去看医生，我觉得事情很严重。我感到不确定和恐惧。,3
37,真的很沮丧，我似乎无法开始任何事情。我今天感觉很恶心,0
38,我今天压力很大，感觉隧道尽头没有光，我拖欠了抵押贷款。,3
39,我担心袭击我的人会再次跟踪我我现在脑子里有很多事情，这让我很焦虑,3
40,我今天感觉不太好。我的狗不舒服。,0
41,I am furious right now because I failed my test,1
42,今天发生了很多好事，所以我特别高兴。我很高兴马赢了,2
43,真的很沮丧，我似乎无法开始任何事情。感觉自己在坑底：刚丢了工作,0
44,我他妈的气死了。我以为我在变好，但我真的又为事情生气了,1
45,今天是个好日子，你好吗？,2
