text,labels
我不舒服，我和我女朋友今天分手了。我不好。我今天都不想起床。,0
Terrible! my roommate stole my necklace!,1
很不幸，我不太好。我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
我想我不能再继续下去了。我和我的伴侣吵架了，我真的很难过。我觉得是我的错。,0
我有更好的日子，我感觉不舒服，现在对事情感到焦虑。我感觉不太好，我最近工作太辛苦，几乎没有时间照顾自己。,3
我很生气。我很生气。,1
我感到沮丧，不像我自己。我今天心情很不好。,0
I am not feeling good today.,0
我感觉很好，谢谢！我感觉很棒谢谢你。,2
今天下午去看牙医，我感到很紧张！,3
我感到活着和幸福。好久没有这么好的感觉了！,2
I'm fine thanks.,2
我和我的伴侣吵架了，我真的很难过。我觉得是我的错。我很无聊，我一个人在家,0
非常难过，我正在一个悲伤日子的纪念日想起它。,0
我对自己的新冠检测结果呈阳性感到担忧和恐惧。,3
"I'm so hateful, the person I trusted the most betrayed me in a way I couldn't even imagine",1
我今天感觉很糟糕，我的焦虑来自屋顶。,3
I am afraid that my child is suffering. They have a fever,3
"I'm not feeling great, I have that sinking feeling that comes with anxiety.",3
那不是你的事我只是想打人，真的。我现在对一切都感到厌烦了。,1
我感觉不太好。不太好。我的姐妹们有地方可去，有事可做。我觉得落后了。,0
我感觉很棒我刚从一个小假期回来。我感觉很棒！,2
我怕我得了癌症我实际上感觉不太好，我的头脑很模糊，我感到焦虑，我的直觉告诉我出了什么问题。,3
Im feeling on edge today. I have a big test and im worried I wont pass.,3
The looting that is going on in our country has me fearing for my life and those whom I love.,3
I've been better.,0
今天发生了很多好事，所以我特别高兴。,2
"I'm good, thanks.",2
我感到很沮丧，因为连续一周都在下雨。,0
我担心我的职业我感觉不太好，我担心面试。,3
我感觉很棒没什么好抱怨的我真高兴。我现在拥有我想要的一切。,2
我现在很生气，我不敢相信我被当成了傻子。不是很好。最近似乎一切都让我感到沮丧，我需要付出很多努力才能保持冷静。,1
今天不太好,0
Nothing seems to be going right and I can't get anybody to listen to me.,1
我的心情真的很低落，实际上很害怕。今天不太好，着急,3
我的心在狂跳，我感到紧张不安。现在在抢劫袭击后我的生活极度紧张,3
不好，我害怕去看医生，我觉得事情很严重。我感到不确定和恐惧。,3
真的很沮丧，我似乎无法开始任何事情。我今天感觉很恶心,0
我今天压力很大，感觉隧道尽头没有光，我拖欠了抵押贷款。,3
我担心袭击我的人会再次跟踪我我现在脑子里有很多事情，这让我很焦虑,3
我今天感觉不太好。我的狗不舒服。,0
I am furious right now because I failed my test,1
今天发生了很多好事，所以我特别高兴。我很高兴马赢了,2
真的很沮丧，我似乎无法开始任何事情。感觉自己在坑底：刚丢了工作,0
我他妈的气死了。我以为我在变好，但我真的又为事情生气了,1
今天是个好日子，你好吗？,2
我真的对我丈夫很生气，他和我吵架了。我只是随机有这些爆发,1
我很郁闷特别糟糕,0
我听说我爷爷感染了新冠肺炎，正在住院。在垂头丧气。我丈夫已经回办公室工作了，我一个人挺孤独。,0
I am anxious about the health of my elderly father.,3
我真的很生气，他们在学校取笑我，但我对此无能为力我生气了，你怎么看。不要再问这些问题了。,1
今天天气很好，我们在公园里悠闲地散步。,2
老实说，我今天感到压力很大，我担心我在面试中表现不佳，然后我又回到了原点。我今天过得不好，你能帮帮我吗？请帮帮我，你会帮我吗？,3
真的不好。我想我的婚姻结束了。我今天有几次哭泣。,0
我害怕死亡，有时我只是彻夜难眠，想着生命的荒谬今天一整天我都有一种可怕的感觉，觉得有什么不好的事情即将发生。,3
对目前的情况真的很满意我对我的新公寓和它的位置很满意,2
Today is a good day,2
我真的很不开心我被推到了恶化的地步，失去了冷静。,1
I am a little upset and depressed this afternoon.,0
杰出的！我度过了最美好的一天！！,2
我很好。感觉从来没有这么好的,2
我今天感到控制和平静,2
I'm pissed,1
我感到有压力。天哪，我今天不知为何感到很害怕。,3
今天心情很紧张，要去面试。,3
我有更好的日子我的车停在杂货店停车场时，有人蹭了我的油漆，我很生气。,1
我失去了动力，似乎永远无法提高我的成绩，我很难过。我想我不能再继续下去了。,0
过的得好谢谢,2
All good here. Thanks for asking.,2
今天感觉很满足，谢谢！我觉得很棒！,2
我在想我最近和妈妈吵架，这让我很生气。我觉得很烂，我和我朋友吵架了。,1
我很难过我很失落,0
I'm not feeling very well. My grandmother passed away last week.,0
I hate this country!,1
好的。你呢？我今天感觉轻松自在,2
"Actually, I have been feeling a little down lately.",0
I am really unhappy,1
我真的很郁闷。我所做的一切都不值得。,0
不太好，老实说，我怕我搞砸了。我好多了。我正在等待我的测试结果，我对结果感到紧张。,3
不是很好，只是整个星期都感到沮丧。我很难过，因为这是一个长周末，但我必须工作。,0
兴奋的我今天感觉很棒！谢谢你。,2
我对面试感到紧张,3
万分谢意。你？我感觉很棒！,2
我感觉很棒，谢谢，我刚刚被告知我被提名一个奖项。我现在感觉很好。,2
我很担心，因为我没有做作业有点紧张,3
我感到压力和焦虑我不舒服。我正在为即将到来的考试感到压力。,3
我感到害怕，因为我今天必须做演讲我感到焦虑,3
"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",0
